campaign_id,category,category_id,goal_amount,duration_days,profile_score,content_length,image_count,has_video,story_word_count,owner_campaign_count,owner_credential_approved,has_budget_report,early_views,early_backers,success,launch_seq
88,Khởi nghiệp,1,76700785.10555868,58,62.24988237455375,16697,0,0.0,428,1,1.0,0.0,307,8,0,87
89,Khởi nghiệp,1,65799496.20993187,61,71.61493317811818,19030,7,1.0,4901,1,0.0,0.0,315,10,1,88
90,Môi trường,0,186590847.00684142,79,70.93062352059889,18677,4,0.0,1543,0,0.0,1.0,317,10,1,89
91,Giáo dục,2,144003588.08484945,24,75.30770217945573,18784,3,0.0,3268,1,1.0,1.0,285,6,0,90
92,Môi trường,0,217548811.89006066,25,60.03029030981153,2459,5,0.0,1768,3,1.0,0.0,311,6,1,91
93,Môi trường,0,135608161.873283,93,53.53403375911692,10440,7,0.0,1229,2,1.0,0.0,285,16,0,92
94,Công nghệ,5,260425073.6990571,83,60.40563578187202,4875,6,0.0,3405,5,0.0,0.0,315,5,1,93
95,Công nghệ,5,130889355.04660015,99,28.2533113208394,2385,3,1.0,3747,3,0.0,0.0,305,8,0,94
96,Y tế,3,252129721.3587533,37,33.057750551538255,8147,9,0.0,2463,4,0.0,1.0,272,11,1,95
97,Văn hóa,4,273628425.2704097,120,35.546007752911954,8871,10,1.0,2635,6,0.0,0.0,286,5,1,96
98,Giáo dục,2,55711642.31542126,38,42.05506344797037,6279,6,1.0,2538,2,0.0,1.0,323,11,1,97
99,Y tế,3,21472060.910122056,81,69.99548453446873,2726,8,1.0,3038,1,1.0,0.0,305,10,1,98
100,Công nghệ,5,500000000.0,25,43.890418892798785,8461,9,0.0,4071,3,0.0,0.0,314,6,0,99
101,Môi trường,0,152675573.616805,111,54.43674891921221,3529,8,1.0,3612,0,1.0,0.0,297,5,1,100
102,Giáo dục,2,23470113.394440163,44,87.98456595572131,1294,7,0.0,1536,1,0.0,0.0,294,13,0,101
103,Môi trường,0,60725330.635755695,98,54.87472057877148,9300,7,0.0,1385,0,0.0,0.0,307,9,1,102
104,Văn hóa,4,249078976.2292071,44,76.75031136934173,1787,7,0.0,3428,2,1.0,1.0,296,11,1,103
105,Văn hóa,4,91725135.95655905,97,43.32764639980246,19336,2,1.0,3297,0,1.0,0.0,308,5,0,104
106,Văn hóa,4,73554828.46849695,58,57.8912488426474,16848,7,0.0,1964,0,0.0,0.0,290,7,0,105
107,Y tế,3,452744165.25344884,14,42.999558901788376,18554,1,0.0,4225,2,1.0,0.0,290,9,0,106
108,Giáo dục,2,44237226.05126098,28,55.21933848198875,2500,3,1.0,2208,1,0.0,0.0,298,8,0,107
109,Môi trường,0,56049977.72856307,84,78.80616274914792,9567,9,0.0,1812,0,0.0,1.0,296,7,1,108
110,Văn hóa,4,146248406.9395453,29,27.453591536153027,16569,8,1.0,2868,0,1.0,1.0,296,7,0,109
111,Công nghệ,5,173368888.43992203,38,70.68847287091715,11722,9,0.0,1125,0,0.0,0.0,321,6,0,110
112,Công nghệ,5,191716041.09342647,68,66.75471204664555,6476,4,0.0,3539,0,0.0,1.0,308,5,0,111
113,Giáo dục,2,284338543.9465495,35,50.11700088606411,16715,2,0.0,4505,2,0.0,1.0,314,7,0,112
114,Khởi nghiệp,1,144479717.11053094,21,33.07884291223091,6529,4,0.0,4736,2,0.0,1.0,302,8,1,113
115,Y tế,3,190452759.85048738,78,63.44259015427739,19489,5,0.0,2344,3,0.0,0.0,318,9,1,114
116,Môi trường,0,93526109.72299975,85,51.41014581872395,2464,5,0.0,1491,2,0.0,0.0,306,7,1,115
117,Môi trường,0,126982950.58832724,90,66.65352422709408,14266,8,0.0,2499,3,1.0,0.0,317,11,1,116
118,Văn hóa,4,132508515.73864359,114,62.43704291046886,758,4,1.0,697,2,1.0,1.0,297,5,1,117
119,Công nghệ,5,146765000.4297866,21,94.03557782641832,18328,6,1.0,3405,2,0.0,1.0,287,5,0,118
120,Giáo dục,2,249236503.57696912,55,57.21288745053951,7428,2,0.0,2258,3,0.0,0.0,299,6,1,119
121,Y tế,3,202730566.71288544,33,41.530050147562704,897,6,0.0,785,3,1.0,0.0,292,2,0,120
122,Y tế,3,124772938.66355795,109,65.58551269912633,16789,5,0.0,2824,2,0.0,1.0,322,5,0,121
123,Môi trường,0,55468747.627709866,68,66.3999336794353,19365,3,1.0,3649,3,1.0,1.0,300,2,1,122
124,Khởi nghiệp,1,127584276.34677854,18,89.18375150480873,18439,4,1.0,1294,0,1.0,0.0,317,10,1,123
125,Khởi nghiệp,1,116497818.36908264,85,78.70222491829156,9971,4,0.0,2143,1,0.0,1.0,294,8,0,124
126,Công nghệ,5,143740838.1242182,11,69.13742118299018,1700,4,0.0,4474,1,0.0,0.0,292,6,1,125
127,Giáo dục,2,500000000.0,38,91.26605782439124,4941,10,1.0,3607,3,0.0,0.0,305,11,0,126
128,Văn hóa,4,72741008.39162324,89,38.22473891354298,1102,5,1.0,4034,4,0.0,0.0,321,5,0,127
129,Khởi nghiệp,1,178692063.7588809,64,49.20496934500505,1363,4,0.0,2358,0,0.0,1.0,307,9,0,128
130,Công nghệ,5,330143829.31554526,93,43.4684811718895,3596,0,1.0,2569,3,1.0,1.0,285,10,0,129
131,Công nghệ,5,131313981.45299163,72,54.20380393688464,11481,2,0.0,2585,0,0.0,0.0,292,13,0,130
132,Giáo dục,2,500000000.0,103,34.46627704887382,15442,4,0.0,2360,0,1.0,0.0,277,5,0,131
133,Khởi nghiệp,1,83542218.50280966,71,74.70301893628809,11904,3,1.0,892,1,1.0,0.0,287,16,1,132
134,Công nghệ,5,162775866.63542646,13,57.55554605802453,4495,9,0.0,395,1,0.0,0.0,317,11,0,133
135,Văn hóa,4,56015250.52074146,15,32.58387410994684,12234,5,0.0,4194,0,0.0,0.0,312,7,0,134
136,Y tế,3,85673275.88413198,95,41.68841837584917,5000,9,1.0,2777,2,0.0,0.0,303,10,1,135
137,Khởi nghiệp,1,151559252.92655292,11,68.2702769490039,9491,5,1.0,2756,2,1.0,0.0,294,8,1,136
138,Y tế,3,267328516.5726585,49,78.76253135788762,17834,5,0.0,3059,3,0.0,0.0,311,6,0,137
139,Giáo dục,2,162005378.3476472,8,100.0,3123,5,0.0,2179,1,1.0,0.0,273,6,1,138
140,Văn hóa,4,395696913.7547714,41,100.0,17561,5,1.0,4479,1,1.0,1.0,298,8,1,139
141,Văn hóa,4,109319238.68864056,74,70.28818866551993,5784,10,0.0,2455,1,1.0,0.0,309,5,1,140
142,Giáo dục,2,87263243.60115081,26,42.209237599362716,13570,0,1.0,2605,4,1.0,1.0,294,8,1,141
143,Môi trường,0,500000000.0,60,19.359074385373816,5594,0,1.0,2750,0,1.0,1.0,297,9,0,142
144,Y tế,3,173993024.44348264,120,67.35422924687671,3698,3,0.0,955,0,1.0,0.0,285,8,0,143
145,Công nghệ,5,60399569.25382226,15,45.74117809379348,9282,5,0.0,1032,1,1.0,0.0,310,6,0,144
146,Khởi nghiệp,1,61864027.25687167,14,53.692854796406294,7932,7,1.0,1064,0,1.0,0.0,286,11,1,145
147,Công nghệ,5,48859240.594531946,37,49.758064018803836,10395,6,1.0,1419,1,1.0,0.0,316,4,1,146
148,Giáo dục,2,291264075.06034386,101,59.18418227167229,5105,4,0.0,967,1,1.0,0.0,291,7,1,147
149,Văn hóa,4,84633571.47025517,53,83.31960461575287,19577,8,0.0,1275,0,0.0,0.0,309,8,0,148
150,Văn hóa,4,135028220.03768912,79,65.14097134890689,13600,8,1.0,4704,1,1.0,0.0,297,8,1,149
151,Khởi nghiệp,1,112635416.64883304,10,58.827303259226234,16891,6,0.0,1931,2,1.0,0.0,290,7,1,150
152,Môi trường,0,239704575.47065267,90,41.28692494348377,15708,8,0.0,4008,1,1.0,0.0,265,10,0,151
153,Công nghệ,5,53521452.44418023,14,28.50634110591286,14621,6,1.0,2087,0,0.0,1.0,285,5,0,152
154,Văn hóa,4,43064361.26287937,88,52.273841818533384,3271,3,1.0,4158,1,1.0,0.0,329,10,1,153
155,Y tế,3,148053231.86471504,23,60.92434898363359,11967,7,1.0,3814,1,1.0,0.0,304,4,1,154
156,Khởi nghiệp,1,211748820.33735844,104,97.35859827159766,18010,5,1.0,4234,0,1.0,1.0,332,10,1,155
157,Môi trường,0,164086731.63729647,40,64.60549042945772,2374,5,0.0,1584,2,0.0,0.0,309,9,0,156
158,Khởi nghiệp,1,55451479.736091234,27,81.65479022046115,9525,9,1.0,659,0,1.0,1.0,284,9,1,157
159,Y tế,3,227716182.9756127,45,52.01408802921696,4094,0,0.0,1678,3,1.0,0.0,291,5,0,158
160,Văn hóa,4,59016765.30750511,7,38.30112467165951,16002,1,0.0,3570,2,1.0,0.0,296,12,1,159
161,Khởi nghiệp,1,72895559.83078387,25,42.69766475535256,18661,1,1.0,3340,3,1.0,1.0,286,11,0,160
162,Khởi nghiệp,1,48800160.09796991,75,47.49547870928494,1506,4,1.0,3580,0,1.0,0.0,317,7,0,161
163,Khởi nghiệp,1,411821446.55124176,41,100.0,16126,4,1.0,4968,1,1.0,0.0,283,5,0,162
164,Công nghệ,5,218380707.8637111,47,45.572266415512274,7531,0,0.0,1279,0,0.0,1.0,306,7,0,163
165,Y tế,3,212561880.62847635,99,78.7697840747269,19296,2,1.0,2332,0,1.0,1.0,288,9,0,164
166,Công nghệ,5,391247476.54998165,21,43.94145643825947,788,2,0.0,2555,3,0.0,1.0,303,12,1,165
167,Môi trường,0,500000000.0,52,80.63146025748489,4233,12,1.0,916,4,1.0,0.0,335,12,0,166
168,Giáo dục,2,23587682.3940307,28,69.69901932211727,14510,10,1.0,3379,0,1.0,0.0,315,5,1,167
169,Giáo dục,2,59325052.67354277,62,58.86724204683819,15679,4,0.0,434,0,0.0,1.0,263,9,1,168
170,Giáo dục,2,66627880.23328395,44,61.18474947729132,2049,4,1.0,4507,1,0.0,0.0,312,7,1,169
171,Giáo dục,2,53314631.23752279,12,48.90424609141219,3621,2,0.0,624,2,0.0,0.0,281,10,1,170
172,Môi trường,0,42982169.066126086,15,70.9214440296416,7096,0,1.0,730,0,1.0,1.0,305,6,1,171
173,Môi trường,0,90000842.48070091,104,52.9003303931844,1179,5,1.0,1033,0,1.0,0.0,303,8,0,172
174,Văn hóa,4,37664421.139844164,13,37.48788472465503,15744,2,1.0,4482,2,0.0,0.0,313,12,0,173
175,Giáo dục,2,164478471.81181866,96,36.44124851360762,13558,5,0.0,4335,0,1.0,0.0,304,7,0,174
176,Môi trường,0,125662890.26577811,111,65.45175835444239,15104,0,0.0,4627,0,0.0,0.0,284,7,1,175
177,Giáo dục,2,188947022.8829832,60,93.58182512820869,9657,3,1.0,4199,1,1.0,1.0,317,5,1,176
178,Công nghệ,5,193800924.74514717,42,65.19983227146876,12985,5,1.0,4633,2,0.0,1.0,264,9,0,177
179,Giáo dục,2,212161112.95048365,95,59.62723347780235,11669,6,1.0,2462,1,0.0,0.0,275,10,0,178
180,Công nghệ,5,83910516.5659039,118,67.71652279205085,14033,6,0.0,223,1,0.0,0.0,321,7,1,179
181,Môi trường,0,500000000.0,20,88.1200348341365,9286,1,0.0,2302,3,1.0,0.0,322,11,1,180
182,Môi trường,0,149485440.88348407,116,66.38765002727713,13199,8,1.0,1260,2,0.0,0.0,313,10,1,181
183,Y tế,3,20391719.81519965,114,53.78145538332526,13084,3,1.0,1374,0,1.0,0.0,265,10,0,182
184,Văn hóa,4,46165486.96637186,23,84.12577420119777,13004,7,0.0,3517,1,0.0,1.0,284,10,1,183
185,Công nghệ,5,22897130.624271348,13,70.57512876923226,17513,5,0.0,1000,2,0.0,0.0,283,5,0,184
186,Giáo dục,2,121626799.96885271,88,92.71511983991984,7318,1,0.0,1744,4,0.0,0.0,289,7,0,185
187,Khởi nghiệp,1,106567062.22020859,15,65.66468874443812,17638,4,0.0,2084,2,0.0,1.0,278,7,0,186
188,Y tế,3,76668047.35193741,75,37.510619365589996,1049,6,0.0,493,3,1.0,0.0,291,8,0,187
189,Khởi nghiệp,1,500000000.0,14,34.6368160150867,9980,7,0.0,3566,0,0.0,1.0,290,7,0,188
190,Khởi nghiệp,1,201547114.39819106,85,95.01855864462499,9115,5,0.0,3862,0,1.0,0.0,303,5,1,189
191,Môi trường,0,238479388.54758626,33,96.47331441566594,17427,10,1.0,2880,1,0.0,0.0,298,7,1,190
192,Văn hóa,4,49400948.70137408,17,58.40961573434799,1386,8,1.0,337,1,0.0,1.0,303,7,1,191
193,Y tế,3,46307400.91393506,14,54.336253577280246,4726,4,1.0,3977,0,0.0,0.0,296,10,0,192
194,Môi trường,0,123897506.8526292,28,91.22888584484404,9642,7,0.0,2340,3,0.0,0.0,267,13,0,193
195,Y tế,3,141012173.66562647,68,39.859086359130245,16401,11,0.0,1478,3,1.0,0.0,284,7,1,194
196,Công nghệ,5,20511658.94034999,15,44.10545962088347,9549,11,0.0,4748,1,1.0,1.0,280,7,1,195
197,Văn hóa,4,100805989.17881425,98,74.86653589378089,12959,1,0.0,4325,2,0.0,0.0,299,15,0,196
198,Giáo dục,2,121250411.1531379,75,54.10789754280821,3985,2,0.0,2313,2,1.0,0.0,291,9,1,197
199,Môi trường,0,97523925.19854411,40,61.89756266559857,18894,9,1.0,2327,2,1.0,1.0,324,6,0,198
200,Y tế,3,55244486.8725282,119,58.73114202950975,15793,2,1.0,4577,0,1.0,1.0,286,11,1,199
201,Y tế,3,71659878.70364533,82,68.75149097597867,1338,1,1.0,1117,1,1.0,0.0,307,10,1,200
202,Công nghệ,5,101136714.26658456,83,90.14963722627434,14232,4,0.0,2163,1,1.0,0.0,318,9,1,201
203,Y tế,3,130418624.40233283,26,63.81169813803491,3023,6,0.0,2937,2,1.0,0.0,291,6,1,202
204,Văn hóa,4,212521135.68356732,88,74.87877586553716,11411,5,0.0,1864,0,1.0,0.0,298,7,1,203
205,Y tế,3,334054060.19116104,70,20.996557979379546,14314,3,0.0,1715,0,0.0,0.0,314,4,0,204
206,Y tế,3,90455598.38094585,119,61.02563196139764,18555,3,1.0,715,0,1.0,0.0,311,17,1,205
207,Khởi nghiệp,1,77566920.62701994,61,45.13539459414258,1874,3,0.0,1480,1,0.0,0.0,293,4,0,206
208,Giáo dục,2,181319801.60351267,84,37.623738791527444,6100,2,1.0,1918,1,1.0,0.0,287,9,0,207
209,Khởi nghiệp,1,213746794.80199096,45,44.43695266142498,13962,12,0.0,4219,4,1.0,1.0,286,9,0,208
210,Giáo dục,2,79201800.3647196,11,55.31753118598376,5609,6,1.0,1817,2,0.0,0.0,323,6,0,209
211,Công nghệ,5,253499853.50805852,21,80.31805084712026,14395,8,1.0,973,1,1.0,1.0,296,10,1,210
212,Giáo dục,2,303413182.7795762,105,35.47214564520872,4076,4,0.0,4263,1,1.0,1.0,296,11,1,211
213,Giáo dục,2,408132380.75463974,91,62.61262985188835,3689,4,1.0,1888,3,0.0,0.0,304,5,0,212
214,Công nghệ,5,500000000.0,48,52.31661133332843,11116,3,0.0,4615,0,1.0,1.0,300,7,1,213
215,Môi trường,0,52530508.24824701,86,55.446538112760784,13937,0,1.0,723,1,1.0,1.0,311,7,0,214
216,Khởi nghiệp,1,121230384.68075088,7,82.05515650609209,4504,1,1.0,305,0,1.0,0.0,292,6,1,215
217,Giáo dục,2,120928958.55850138,11,72.76230874007852,17542,0,1.0,4624,3,0.0,1.0,297,7,0,216
218,Giáo dục,2,108996912.04111789,64,88.74796214885487,17443,0,1.0,671,2,0.0,0.0,299,9,1,217
219,Giáo dục,2,64566110.53449023,78,58.90988641500199,2083,1,0.0,241,0,1.0,1.0,284,9,0,218
220,Văn hóa,4,29171888.967035,113,48.08114776658594,6434,9,1.0,3287,1,0.0,0.0,334,9,0,219
221,Giáo dục,2,130651688.50494456,93,57.52282366239001,11344,5,1.0,1722,2,0.0,0.0,312,9,0,220
222,Giáo dục,2,57659300.77612031,36,66.84993582542444,10073,9,0.0,2526,1,0.0,0.0,277,8,1,221
223,Giáo dục,2,129824462.39781201,99,65.53146716907422,5472,6,0.0,2160,0,0.0,1.0,326,10,1,222
224,Công nghệ,5,56269242.83465914,63,40.31223855533267,10825,7,1.0,1625,0,1.0,0.0,312,10,1,223
225,Công nghệ,5,42090161.23451909,101,63.80979563255748,19274,2,0.0,2509,2,1.0,0.0,306,12,0,224
226,Khởi nghiệp,1,149466589.22260898,26,66.5645666027781,6499,7,0.0,1447,1,1.0,0.0,306,10,0,225
227,Môi trường,0,138084372.39545485,9,100.0,4770,7,1.0,1278,0,1.0,0.0,280,3,1,226
228,Môi trường,0,207432775.72912714,13,99.53689222563341,14899,3,1.0,1278,0,0.0,1.0,303,7,0,227
229,Giáo dục,2,500000000.0,119,44.9351329888236,11628,7,0.0,768,1,0.0,1.0,296,6,0,228
230,Y tế,3,155697418.1800408,16,56.252332769016476,13995,7,0.0,2722,1,0.0,0.0,299,10,0,229
231,Môi trường,0,189675955.8738412,114,32.73115996325994,13104,3,0.0,2832,1,0.0,0.0,278,4,0,230
232,Y tế,3,42983064.08453599,89,50.18585972073027,15335,2,1.0,283,2,0.0,0.0,307,5,0,231
233,Giáo dục,2,35231035.11393199,23,68.31210007180681,14720,1,0.0,2405,2,0.0,0.0,310,10,0,232
234,Công nghệ,5,500000000.0,105,86.11707241776467,12315,5,0.0,3746,2,0.0,1.0,314,3,0,233
235,Y tế,3,49758616.82399227,23,47.41832324512783,9362,6,1.0,206,2,0.0,1.0,309,15,1,234
