user_id,campaign_id,category,event_type,occurred_at
user-0203,801,Giáo dục,FOLLOW,2025-01-04T16:00:00+00:00
user-0135,46,Y tế,SEARCH,2025-01-04T18:00:00+00:00
user-0244,763,Môi trường,VIEW,2025-01-04T20:00:00+00:00
user-0022,717,Văn hóa,VIEW,2025-01-04T22:00:00+00:00
user-0108,60,Khởi nghiệp,SEARCH,2025-01-05T00:00:00+00:00
user-0257,622,Văn hóa,SEARCH,2025-01-05T02:00:00+00:00
user-0247,628,Y tế,VIEW,2025-01-05T04:00:00+00:00
user-0150,705,Khởi nghiệp,VIEW,2025-01-05T06:00:00+00:00
user-0014,253,Y tế,FOLLOW,2025-01-05T08:00:00+00:00
user-0068,98,Giáo dục,FOLLOW,2025-01-05T10:00:00+00:00
user-0266,685,Văn hóa,VIEW,2025-01-05T12:00:00+00:00
user-0092,952,Khởi nghiệp,VIEW,2025-01-05T14:00:00+00:00
user-0300,13,Y tế,VIEW,2025-01-05T16:00:00+00:00
user-0292,140,Văn hóa,FOLLOW,2025-01-05T18:00:00+00:00
user-0216,891,Khởi nghiệp,CONTRIBUTE,2025-01-05T20:00:00+00:00
user-0081,279,Văn hóa,VIEW,2025-01-05T22:00:00+00:00
user-0037,839,Y tế,FOLLOW,2025-01-06T00:00:00+00:00
user-0051,881,Khởi nghiệp,SEARCH,2025-01-06T02:00:00+00:00
user-0288,125,Khởi nghiệp,SEARCH,2025-01-06T04:00:00+00:00
user-0045,927,Y tế,VIEW,2025-01-06T06:00:00+00:00
user-0005,542,Y tế,SEARCH,2025-01-06T08:00:00+00:00
user-0244,648,Môi trường,SEARCH,2025-01-06T10:00:00+00:00
user-0272,789,Công nghệ,VIEW,2025-01-06T12:00:00+00:00
user-0277,227,Môi trường,VIEW,2025-01-06T14:00:00+00:00
user-0294,422,Văn hóa,VIEW,2025-01-06T16:00:00+00:00
user-0277,505,Khởi nghiệp,VIEW,2025-01-06T18:00:00+00:00
user-0221,207,Khởi nghiệp,VIEW,2025-01-06T20:00:00+00:00
user-0022,884,Công nghệ,VIEW,2025-01-06T22:00:00+00:00
user-0231,867,Công nghệ,FOLLOW,2025-01-07T00:00:00+00:00
user-0023,376,Môi trường,VIEW,2025-01-07T02:00:00+00:00
user-0068,752,Văn hóa,VIEW,2025-01-07T04:00:00+00:00
user-0094,218,Giáo dục,SEARCH,2025-01-07T06:00:00+00:00
user-0273,500,Công nghệ,VIEW,2025-01-07T08:00:00+00:00
user-0052,845,Công nghệ,VIEW,2025-01-07T10:00:00+00:00
user-0094,636,Công nghệ,VIEW,2025-01-07T12:00:00+00:00
user-0207,930,Văn hóa,FOLLOW,2025-01-07T14:00:00+00:00
user-0022,225,Công nghệ,SEARCH,2025-01-07T16:00:00+00:00
user-0057,532,Văn hóa,VIEW,2025-01-07T18:00:00+00:00
user-0039,55,Công nghệ,VIEW,2025-01-07T20:00:00+00:00
user-0299,666,Công nghệ,VIEW,2025-01-07T22:00:00+00:00
user-0141,415,Văn hóa,CONTRIBUTE,2025-01-08T00:00:00+00:00
user-0237,794,Y tế,FOLLOW,2025-01-08T02:00:00+00:00
user-0218,836,Giáo dục,VIEW,2025-01-08T04:00:00+00:00
user-0112,188,Y tế,VIEW,2025-01-08T06:00:00+00:00
user-0226,22,Y tế,VIEW,2025-01-08T08:00:00+00:00
user-0126,551,Môi trường,VIEW,2025-01-08T10:00:00+00:00
user-0171,687,Văn hóa,VIEW,2025-01-08T12:00:00+00:00
user-0041,771,Văn hóa,FOLLOW,2025-01-08T14:00:00+00:00
user-0030,186,Giáo dục,VIEW,2025-01-08T16:00:00+00:00
user-0001,86,Văn hóa,FOLLOW,2025-01-08T18:00:00+00:00
user-0233,838,Văn hóa,VIEW,2025-01-08T20:00:00+00:00
user-0183,53,Giáo dục,SEARCH,2025-01-08T22:00:00+00:00
user-0073,800,Môi trường,VIEW,2025-01-09T00:00:00+00:00
user-0115,133,Khởi nghiệp,VIEW,2025-01-09T02:00:00+00:00
user-0097,859,Môi trường,CONTRIBUTE,2025-01-09T04:00:00+00:00
user-0200,396,Y tế,FOLLOW,2025-01-09T06:00:00+00:00
user-0186,33,Y tế,VIEW,2025-01-09T08:00:00+00:00
user-0270,225,Công nghệ,VIEW,2025-01-09T10:00:00+00:00
user-0020,244,Y tế,VIEW,2025-01-09T12:00:00+00:00
user-0056,423,Khởi nghiệp,VIEW,2025-01-09T14:00:00+00:00
user-0204,726,Môi trường,VIEW,2025-01-09T16:00:00+00:00
user-0169,199,Môi trường,VIEW,2025-01-09T18:00:00+00:00
user-0219,158,Khởi nghiệp,FOLLOW,2025-01-09T20:00:00+00:00
user-0151,720,Văn hóa,VIEW,2025-01-09T22:00:00+00:00
user-0277,578,Khởi nghiệp,FOLLOW,2025-01-10T00:00:00+00:00
user-0164,9,Môi trường,VIEW,2025-01-10T02:00:00+00:00
user-0136,679,Văn hóa,CONTRIBUTE,2025-01-10T04:00:00+00:00
user-0215,750,Công nghệ,VIEW,2025-01-10T06:00:00+00:00
user-0110,286,Công nghệ,FOLLOW,2025-01-10T08:00:00+00:00
user-0287,52,Giáo dục,FOLLOW,2025-01-10T10:00:00+00:00
user-0071,643,Khởi nghiệp,VIEW,2025-01-10T12:00:00+00:00
user-0293,755,Công nghệ,SEARCH,2025-01-10T14:00:00+00:00
user-0174,108,Giáo dục,VIEW,2025-01-10T16:00:00+00:00
user-0219,718,Công nghệ,VIEW,2025-01-10T18:00:00+00:00
user-0138,30,Giáo dục,VIEW,2025-01-10T20:00:00+00:00
user-0149,680,Khởi nghiệp,SEARCH,2025-01-10T22:00:00+00:00
user-0036,991,Công nghệ,VIEW,2025-01-11T00:00:00+00:00
user-0258,559,Công nghệ,CONTRIBUTE,2025-01-11T02:00:00+00:00
user-0105,999,Khởi nghiệp,SEARCH,2025-01-11T04:00:00+00:00
user-0136,868,Công nghệ,SEARCH,2025-01-11T06:00:00+00:00
user-0032,990,Y tế,VIEW,2025-01-11T08:00:00+00:00
user-0221,41,Khởi nghiệp,VIEW,2025-01-11T10:00:00+00:00
user-0047,963,Khởi nghiệp,VIEW,2025-01-11T12:00:00+00:00
user-0252,618,Công nghệ,VIEW,2025-01-11T14:00:00+00:00
user-0093,531,Môi trường,FOLLOW,2025-01-11T16:00:00+00:00
user-0216,956,Khởi nghiệp,SEARCH,2025-01-11T18:00:00+00:00
user-0274,123,Môi trường,CONTRIBUTE,2025-01-11T20:00:00+00:00
user-0067,353,Y tế,VIEW,2025-01-11T22:00:00+00:00
user-0247,368,Giáo dục,VIEW,2025-01-12T00:00:00+00:00
user-0005,985,Y tế,VIEW,2025-01-12T02:00:00+00:00
user-0183,156,Khởi nghiệp,FOLLOW,2025-01-12T04:00:00+00:00
user-0216,543,Khởi nghiệp,VIEW,2025-01-12T06:00:00+00:00
user-0221,69,Khởi nghiệp,VIEW,2025-01-12T08:00:00+00:00
user-0007,192,Văn hóa,FOLLOW,2025-01-12T10:00:00+00:00
user-0240,783,Y tế,FOLLOW,2025-01-12T12:00:00+00:00
user-0053,834,Công nghệ,VIEW,2025-01-12T14:00:00+00:00
user-0193,819,Môi trường,FOLLOW,2025-01-12T16:00:00+00:00
user-0169,944,Môi trường,SEARCH,2025-01-12T18:00:00+00:00
user-0235,664,Công nghệ,SEARCH,2025-01-12T20:00:00+00:00
user-0166,192,Văn hóa,SEARCH,2025-01-12T22:00:00+00:00
user-0251,54,Giáo dục,SEARCH,2025-01-13T00:00:00+00:00
user-0056,114,Khởi nghiệp,SEARCH,2025-01-13T02:00:00+00:00
user-0056,88,Khởi nghiệp,SEARCH,2025-01-13T04:00:00+00:00
user-0117,737,Văn hóa,SEARCH,2025-01-13T06:00:00+00:00
user-0269,482,Văn hóa,SEARCH,2025-01-13T08:00:00+00:00
user-0165,23,Giáo dục,VIEW,2025-01-13T10:00:00+00:00
user-0097,348,Giáo dục,SEARCH,2025-01-13T12:00:00+00:00
user-0260,249,Công nghệ,SEARCH,2025-01-13T14:00:00+00:00
user-0044,845,Công nghệ,VIEW,2025-01-13T16:00:00+00:00
user-0159,591,Khởi nghiệp,VIEW,2025-01-13T18:00:00+00:00
user-0160,451,Văn hóa,FOLLOW,2025-01-13T20:00:00+00:00
user-0025,311,Y tế,VIEW,2025-01-13T22:00:00+00:00
user-0204,955,Môi trường,SEARCH,2025-01-14T00:00:00+00:00
user-0093,574,Môi trường,CONTRIBUTE,2025-01-14T02:00:00+00:00
user-0288,175,Giáo dục,SEARCH,2025-01-14T04:00:00+00:00
user-0048,291,Giáo dục,SEARCH,2025-01-14T06:00:00+00:00
user-0054,98,Giáo dục,FOLLOW,2025-01-14T08:00:00+00:00
user-0056,827,Công nghệ,VIEW,2025-01-14T10:00:00+00:00
user-0134,710,Môi trường,VIEW,2025-01-14T12:00:00+00:00
user-0200,300,Y tế,SEARCH,2025-01-14T14:00:00+00:00
user-0153,759,Môi trường,VIEW,2025-01-14T16:00:00+00:00
user-0015,736,Môi trường,CONTRIBUTE,2025-01-14T18:00:00+00:00
user-0249,958,Y tế,SEARCH,2025-01-14T20:00:00+00:00
user-0204,620,Khởi nghiệp,VIEW,2025-01-14T22:00:00+00:00
user-0143,417,Văn hóa,SEARCH,2025-01-15T00:00:00+00:00
user-0108,718,Công nghệ,FOLLOW,2025-01-15T02:00:00+00:00
user-0299,706,Công nghệ,SEARCH,2025-01-15T04:00:00+00:00
user-0210,181,Môi trường,VIEW,2025-01-15T06:00:00+00:00
user-0275,244,Y tế,SEARCH,2025-01-15T08:00:00+00:00
user-0124,485,Y tế,SEARCH,2025-01-15T10:00:00+00:00
user-0089,17,Môi trường,VIEW,2025-01-15T12:00:00+00:00
user-0237,872,Y tế,VIEW,2025-01-15T14:00:00+00:00
user-0089,426,Môi trường,SEARCH,2025-01-15T16:00:00+00:00
user-0299,935,Công nghệ,SEARCH,2025-01-15T18:00:00+00:00
user-0068,555,Văn hóa,VIEW,2025-01-15T20:00:00+00:00
user-0131,698,Môi trường,SEARCH,2025-01-15T22:00:00+00:00
user-0029,378,Y tế,CONTRIBUTE,2025-01-16T00:00:00+00:00
user-0042,516,Khởi nghiệp,FOLLOW,2025-01-16T02:00:00+00:00
user-0178,931,Giáo dục,VIEW,2025-01-16T04:00:00+00:00
user-0244,449,Môi trường,VIEW,2025-01-16T06:00:00+00:00
user-0096,815,Y tế,VIEW,2025-01-16T08:00:00+00:00
user-0207,86,Văn hóa,VIEW,2025-01-16T10:00:00+00:00
user-0170,29,Văn hóa,VIEW,2025-01-16T12:00:00+00:00
user-0066,258,Văn hóa,FOLLOW,2025-01-16T14:00:00+00:00
user-0037,279,Văn hóa,CONTRIBUTE,2025-01-16T16:00:00+00:00
user-0179,815,Y tế,VIEW,2025-01-16T18:00:00+00:00
user-0043,105,Văn hóa,VIEW,2025-01-16T20:00:00+00:00
user-0221,757,Khởi nghiệp,SEARCH,2025-01-16T22:00:00+00:00
user-0126,857,Giáo dục,SEARCH,2025-01-17T00:00:00+00:00
user-0279,662,Y tế,VIEW,2025-01-17T02:00:00+00:00
user-0121,837,Khởi nghiệp,VIEW,2025-01-17T04:00:00+00:00
user-0119,85,Giáo dục,FOLLOW,2025-01-17T06:00:00+00:00
user-0022,39,Văn hóa,VIEW,2025-01-17T08:00:00+00:00
user-0049,522,Y tế,VIEW,2025-01-17T10:00:00+00:00
user-0173,18,Khởi nghiệp,FOLLOW,2025-01-17T12:00:00+00:00
user-0056,429,Khởi nghiệp,SEARCH,2025-01-17T14:00:00+00:00
user-0178,384,Giáo dục,SEARCH,2025-01-17T16:00:00+00:00
user-0229,815,Y tế,VIEW,2025-01-17T18:00:00+00:00
user-0041,489,Văn hóa,SEARCH,2025-01-17T20:00:00+00:00
user-0207,776,Công nghệ,VIEW,2025-01-17T22:00:00+00:00
user-0280,84,Khởi nghiệp,SEARCH,2025-01-18T00:00:00+00:00
user-0225,285,Giáo dục,FOLLOW,2025-01-18T02:00:00+00:00
user-0007,312,Văn hóa,FOLLOW,2025-01-18T04:00:00+00:00
user-0073,379,Công nghệ,VIEW,2025-01-18T06:00:00+00:00
user-0285,182,Môi trường,VIEW,2025-01-18T08:00:00+00:00
user-0214,301,Khởi nghiệp,VIEW,2025-01-18T10:00:00+00:00
user-0072,32,Khởi nghiệp,VIEW,2025-01-18T12:00:00+00:00
user-0175,1000,Khởi nghiệp,VIEW,2025-01-18T14:00:00+00:00
user-0194,882,Khởi nghiệp,SEARCH,2025-01-18T16:00:00+00:00
user-0109,558,Công nghệ,VIEW,2025-01-18T18:00:00+00:00
user-0219,134,Công nghệ,VIEW,2025-01-18T20:00:00+00:00
user-0042,677,Y tế,SEARCH,2025-01-18T22:00:00+00:00
user-0276,145,Công nghệ,VIEW,2025-01-19T00:00:00+00:00
user-0150,978,Công nghệ,VIEW,2025-01-19T02:00:00+00:00
user-0240,693,Y tế,SEARCH,2025-01-19T04:00:00+00:00
user-0089,828,Văn hóa,SEARCH,2025-01-19T06:00:00+00:00
user-0104,346,Giáo dục,VIEW,2025-01-19T08:00:00+00:00
user-0271,157,Môi trường,SEARCH,2025-01-19T10:00:00+00:00
user-0017,470,Giáo dục,FOLLOW,2025-01-19T12:00:00+00:00
user-0200,902,Khởi nghiệp,FOLLOW,2025-01-19T14:00:00+00:00
user-0054,608,Công nghệ,SEARCH,2025-01-19T16:00:00+00:00
user-0125,860,Văn hóa,VIEW,2025-01-19T18:00:00+00:00
user-0178,425,Giáo dục,VIEW,2025-01-19T20:00:00+00:00
user-0096,550,Khởi nghiệp,VIEW,2025-01-19T22:00:00+00:00
user-0246,590,Y tế,VIEW,2025-01-20T00:00:00+00:00
user-0163,317,Giáo dục,SEARCH,2025-01-20T02:00:00+00:00
user-0240,485,Y tế,VIEW,2025-01-20T04:00:00+00:00
user-0171,375,Công nghệ,VIEW,2025-01-20T06:00:00+00:00
user-0080,772,Công nghệ,VIEW,2025-01-20T08:00:00+00:00
user-0140,47,Giáo dục,VIEW,2025-01-20T10:00:00+00:00
user-0260,521,Môi trường,VIEW,2025-01-20T12:00:00+00:00
user-0053,145,Công nghệ,VIEW,2025-01-20T14:00:00+00:00
user-0059,162,Khởi nghiệp,FOLLOW,2025-01-20T16:00:00+00:00
user-0073,817,Y tế,SEARCH,2025-01-20T18:00:00+00:00
user-0237,707,Giáo dục,CONTRIBUTE,2025-01-20T20:00:00+00:00
user-0243,498,Khởi nghiệp,VIEW,2025-01-20T22:00:00+00:00
user-0046,602,Giáo dục,VIEW,2025-01-21T00:00:00+00:00
user-0171,792,Công nghệ,FOLLOW,2025-01-21T02:00:00+00:00
user-0195,86,Văn hóa,FOLLOW,2025-01-21T04:00:00+00:00
user-0190,362,Khởi nghiệp,SEARCH,2025-01-21T06:00:00+00:00
user-0216,939,Khởi nghiệp,CONTRIBUTE,2025-01-21T08:00:00+00:00
user-0289,334,Giáo dục,VIEW,2025-01-21T10:00:00+00:00
user-0071,983,Khởi nghiệp,VIEW,2025-01-21T12:00:00+00:00
user-0113,646,Khởi nghiệp,SEARCH,2025-01-21T14:00:00+00:00
user-0207,689,Công nghệ,VIEW,2025-01-21T16:00:00+00:00
user-0178,425,Giáo dục,SEARCH,2025-01-21T18:00:00+00:00
user-0077,312,Văn hóa,FOLLOW,2025-01-21T20:00:00+00:00
user-0102,275,Môi trường,VIEW,2025-01-21T22:00:00+00:00
user-0186,359,Giáo dục,SEARCH,2025-01-22T00:00:00+00:00
user-0087,205,Y tế,VIEW,2025-01-22T02:00:00+00:00
user-0032,539,Môi trường,VIEW,2025-01-22T04:00:00+00:00
user-0060,311,Y tế,SEARCH,2025-01-22T06:00:00+00:00
user-0129,56,Khởi nghiệp,FOLLOW,2025-01-22T08:00:00+00:00
user-0279,555,Văn hóa,SEARCH,2025-01-22T10:00:00+00:00
user-0242,986,Giáo dục,SEARCH,2025-01-22T12:00:00+00:00
user-0278,802,Môi trường,VIEW,2025-01-22T14:00:00+00:00
user-0271,227,Môi trường,FOLLOW,2025-01-22T16:00:00+00:00
user-0141,399,Văn hóa,VIEW,2025-01-22T18:00:00+00:00
user-0231,742,Công nghệ,VIEW,2025-01-22T20:00:00+00:00
user-0137,649,Khởi nghiệp,VIEW,2025-01-22T22:00:00+00:00
user-0284,572,Giáo dục,VIEW,2025-01-23T00:00:00+00:00
user-0083,408,Y tế,VIEW,2025-01-23T02:00:00+00:00
user-0215,792,Công nghệ,VIEW,2025-01-23T04:00:00+00:00
user-0259,321,Môi trường,SEARCH,2025-01-23T06:00:00+00:00
user-0061,437,Văn hóa,VIEW,2025-01-23T08:00:00+00:00
user-0217,691,Công nghệ,VIEW,2025-01-23T10:00:00+00:00
user-0227,211,Công nghệ,VIEW,2025-01-23T12:00:00+00:00
user-0293,534,Khởi nghiệp,VIEW,2025-01-23T14:00:00+00:00
user-0178,280,Khởi nghiệp,SEARCH,2025-01-23T16:00:00+00:00
user-0274,490,Môi trường,SEARCH,2025-01-23T18:00:00+00:00
user-0094,494,Công nghệ,SEARCH,2025-01-23T20:00:00+00:00
user-0266,516,Khởi nghiệp,SEARCH,2025-01-23T22:00:00+00:00
user-0135,300,Y tế,CONTRIBUTE,2025-01-24T00:00:00+00:00
user-0251,720,Văn hóa,CONTRIBUTE,2025-01-24T02:00:00+00:00
user-0300,901,Văn hóa,SEARCH,2025-01-24T04:00:00+00:00
user-0171,760,Công nghệ,SEARCH,2025-01-24T06:00:00+00:00
user-0189,52,Giáo dục,VIEW,2025-01-24T08:00:00+00:00
user-0273,722,Công nghệ,VIEW,2025-01-24T10:00:00+00:00
user-0272,608,Công nghệ,VIEW,2025-01-24T12:00:00+00:00
user-0083,102,Giáo dục,SEARCH,2025-01-24T14:00:00+00:00
user-0125,817,Y tế,VIEW,2025-01-24T16:00:00+00:00
user-0276,584,Y tế,SEARCH,2025-01-24T18:00:00+00:00
user-0151,805,Khởi nghiệp,FOLLOW,2025-01-24T20:00:00+00:00
user-0040,550,Khởi nghiệp,FOLLOW,2025-01-24T22:00:00+00:00
user-0190,617,Y tế,FOLLOW,2025-01-25T00:00:00+00:00
user-0232,575,Môi trường,SEARCH,2025-01-25T02:00:00+00:00
user-0291,533,Văn hóa,SEARCH,2025-01-25T04:00:00+00:00
user-0052,613,Công nghệ,VIEW,2025-01-25T06:00:00+00:00
user-0050,678,Y tế,FOLLOW,2025-01-25T08:00:00+00:00
user-0238,812,Khởi nghiệp,SEARCH,2025-01-25T10:00:00+00:00
user-0139,897,Môi trường,VIEW,2025-01-25T12:00:00+00:00
user-0044,703,Công nghệ,VIEW,2025-01-25T14:00:00+00:00
user-0104,239,Giáo dục,FOLLOW,2025-01-25T16:00:00+00:00
user-0069,614,Môi trường,SEARCH,2025-01-25T18:00:00+00:00
user-0291,262,Y tế,SEARCH,2025-01-25T20:00:00+00:00
user-0005,152,Môi trường,SEARCH,2025-01-25T22:00:00+00:00
user-0212,996,Môi trường,CONTRIBUTE,2025-01-26T00:00:00+00:00
user-0143,52,Giáo dục,VIEW,2025-01-26T02:00:00+00:00
user-0185,526,Văn hóa,FOLLOW,2025-01-26T04:00:00+00:00
user-0037,755,Công nghệ,VIEW,2025-01-26T06:00:00+00:00
user-0044,87,Văn hóa,VIEW,2025-01-26T08:00:00+00:00
user-0146,921,Khởi nghiệp,VIEW,2025-01-26T10:00:00+00:00
user-0040,721,Y tế,FOLLOW,2025-01-26T12:00:00+00:00
user-0241,174,Văn hóa,FOLLOW,2025-01-26T14:00:00+00:00
user-0190,509,Văn hóa,VIEW,2025-01-26T16:00:00+00:00
user-0238,643,Khởi nghiệp,FOLLOW,2025-01-26T18:00:00+00:00
user-0204,651,Môi trường,VIEW,2025-01-26T20:00:00+00:00
user-0111,159,Y tế,VIEW,2025-01-26T22:00:00+00:00
user-0293,131,Công nghệ,VIEW,2025-01-27T00:00:00+00:00
user-0094,272,Công nghệ,SEARCH,2025-01-27T02:00:00+00:00
user-0182,348,Giáo dục,VIEW,2025-01-27T04:00:00+00:00
user-0154,993,Khởi nghiệp,VIEW,2025-01-27T06:00:00+00:00
user-0078,189,Khởi nghiệp,FOLLOW,2025-01-27T08:00:00+00:00
user-0025,360,Công nghệ,SEARCH,2025-01-27T10:00:00+00:00
user-0082,486,Công nghệ,FOLLOW,2025-01-27T12:00:00+00:00
user-0019,769,Văn hóa,SEARCH,2025-01-27T14:00:00+00:00
user-0132,193,Y tế,FOLLOW,2025-01-27T16:00:00+00:00
user-0223,749,Khởi nghiệp,VIEW,2025-01-27T18:00:00+00:00
user-0185,966,Công nghệ,SEARCH,2025-01-27T20:00:00+00:00
user-0169,34,Môi trường,VIEW,2025-01-27T22:00:00+00:00
user-0254,513,Giáo dục,CONTRIBUTE,2025-01-28T00:00:00+00:00
user-0163,898,Giáo dục,VIEW,2025-01-28T02:00:00+00:00
user-0156,496,Khởi nghiệp,SEARCH,2025-01-28T04:00:00+00:00
user-0226,916,Giáo dục,SEARCH,2025-01-28T06:00:00+00:00
user-0257,289,Văn hóa,SEARCH,2025-01-28T08:00:00+00:00
user-0042,837,Khởi nghiệp,FOLLOW,2025-01-28T10:00:00+00:00
user-0283,888,Giáo dục,SEARCH,2025-01-28T12:00:00+00:00
user-0177,509,Văn hóa,CONTRIBUTE,2025-01-28T14:00:00+00:00
user-0268,534,Khởi nghiệp,VIEW,2025-01-28T16:00:00+00:00
user-0020,160,Văn hóa,FOLLOW,2025-01-28T18:00:00+00:00
user-0026,750,Công nghệ,CONTRIBUTE,2025-01-28T20:00:00+00:00
user-0083,195,Y tế,FOLLOW,2025-01-28T22:00:00+00:00
user-0288,245,Công nghệ,VIEW,2025-01-29T00:00:00+00:00
user-0237,782,Y tế,SEARCH,2025-01-29T02:00:00+00:00
user-0239,628,Y tế,VIEW,2025-01-29T04:00:00+00:00
user-0074,525,Giáo dục,VIEW,2025-01-29T06:00:00+00:00
user-0102,553,Văn hóa,SEARCH,2025-01-29T08:00:00+00:00
user-0270,451,Văn hóa,VIEW,2025-01-29T10:00:00+00:00
user-0272,19,Giáo dục,CONTRIBUTE,2025-01-29T12:00:00+00:00
user-0012,194,Môi trường,CONTRIBUTE,2025-01-29T14:00:00+00:00
user-0208,564,Công nghệ,FOLLOW,2025-01-29T16:00:00+00:00
user-0156,901,Văn hóa,FOLLOW,2025-01-29T18:00:00+00:00
user-0003,694,Văn hóa,SEARCH,2025-01-29T20:00:00+00:00
user-0120,820,Khởi nghiệp,VIEW,2025-01-29T22:00:00+00:00
user-0177,36,Văn hóa,SEARCH,2025-01-30T00:00:00+00:00
user-0082,895,Công nghệ,VIEW,2025-01-30T02:00:00+00:00
user-0269,812,Khởi nghiệp,VIEW,2025-01-30T04:00:00+00:00
user-0097,177,Giáo dục,FOLLOW,2025-01-30T06:00:00+00:00
user-0022,730,Văn hóa,FOLLOW,2025-01-30T08:00:00+00:00
user-0185,616,Giáo dục,SEARCH,2025-01-30T10:00:00+00:00
user-0243,917,Y tế,FOLLOW,2025-01-30T12:00:00+00:00
user-0158,210,Giáo dục,SEARCH,2025-01-30T14:00:00+00:00
user-0112,299,Y tế,CONTRIBUTE,2025-01-30T16:00:00+00:00
user-0267,487,Môi trường,SEARCH,2025-01-30T18:00:00+00:00
user-0039,443,Môi trường,VIEW,2025-01-30T20:00:00+00:00
user-0195,239,Giáo dục,VIEW,2025-01-30T22:00:00+00:00
user-0003,932,Công nghệ,FOLLOW,2025-01-31T00:00:00+00:00
user-0172,888,Giáo dục,FOLLOW,2025-01-31T02:00:00+00:00
user-0222,242,Giáo dục,VIEW,2025-01-31T04:00:00+00:00
user-0110,791,Văn hóa,CONTRIBUTE,2025-01-31T06:00:00+00:00
user-0284,478,Giáo dục,VIEW,2025-01-31T08:00:00+00:00
user-0193,261,Khởi nghiệp,VIEW,2025-01-31T10:00:00+00:00
user-0049,374,Y tế,SEARCH,2025-01-31T12:00:00+00:00
user-0169,893,Giáo dục,VIEW,2025-01-31T14:00:00+00:00
user-0295,679,Văn hóa,SEARCH,2025-01-31T16:00:00+00:00
user-0241,254,Y tế,FOLLOW,2025-01-31T18:00:00+00:00
user-0104,571,Giáo dục,VIEW,2025-01-31T20:00:00+00:00
user-0035,651,Môi trường,SEARCH,2025-01-31T22:00:00+00:00
user-0006,753,Giáo dục,SEARCH,2025-02-01T00:00:00+00:00
user-0170,75,Khởi nghiệp,SEARCH,2025-02-01T02:00:00+00:00
user-0048,514,Công nghệ,FOLLOW,2025-02-01T04:00:00+00:00
user-0224,925,Văn hóa,SEARCH,2025-02-01T06:00:00+00:00
